招生单位,考试方式,院系所,专业,学习方式,研究方向,指导老师,拟招人数,政治,外语,业务课一,业务课二
(10622)四川轻化工大学,统考,(004)自动化与信息工程学院,(0811Z1)电力系统及智能控制,全日制,(02)电力系统运行和控制,吴浩、宋弘、罗毅、干树川、熊兴中、陈昌忠、侯劲、夏岩、黄沁元,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)电路分析基础
(10673)云南大学,统考,(015)信息学院,(081101)控制理论与控制工程,全日制,(01)测控系统及信号处理技术,,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(828)自动控制原理
(10673)云南大学,统考,(015)信息学院,(081101)控制理论与控制工程,全日制,(02)智能信息处理与控制,,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(828)自动控制原理
(10622)四川轻化工大学,统考,(004)自动化与信息工程学院,(0811Z1)电力系统及智能控制,全日制,(03)人工智能在电力系统中的应用,吴浩、宋弘、罗毅、干树川、熊兴中、陈昌忠、侯劲、夏岩、黄沁元,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)电路分析基础
(10673)云南大学,统考,(015)信息学院,(081101)控制理论与控制工程,全日制,(03)多源信息融合技术,,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(828)自动控制原理
(10673)云南大学,统考,(015)信息学院,(081102)检测技术与自动化装置,全日制,(01)微弱信号检测,,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(828)自动控制原理
(10673)云南大学,统考,(015)信息学院,(081102)检测技术与自动化装置,全日制,(03)智能仪器及自动化设备,,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(828)自动控制原理
(10673)云南大学,统考,(015)信息学院,(081102)检测技术与自动化装置,全日制,(02)自适应信号处理技术,,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(828)自动控制原理
(10673)云南大学,统考,(015)信息学院,(081102)检测技术与自动化装置,全日制,(04)语音、图像识别与理解,,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(828)自动控制原理
(10673)云南大学,统考,(015)信息学院,(081104)模式识别与智能系统,全日制,(03)计算机控制系统,,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(828)自动控制原理
(10673)云南大学,统考,(015)信息学院,(081104)模式识别与智能系统,全日制,(02)语音合成、识别和理解,,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(828)自动控制原理
(10673)云南大学,统考,(015)信息学院,(081104)模式识别与智能系统,全日制,(01)计算机视觉与图像识别,,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(828)自动控制原理
(10698)西安交通大学,统考,(004)电气工程学院,(081100)控制科学与工程,全日制,(01)工业智能控制与信息化制造技术,不区分导师,专业：3(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(810)电路
(10698)西安交通大学,统考,(054)电子与信息学部-自动化科学与工程学院,(081100)控制科学与工程,全日制,(01)控制理论与控制工程,不区分导师,专业：7(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)自动控制理论（含现代控制）
(10698)西安交通大学,统考,(054)电子与信息学部-自动化科学与工程学院,(081100)控制科学与工程,全日制,(02)检测技术与自动化装置,不区分导师,专业：7(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)自动控制理论（含现代控制）
(10698)西安交通大学,统考,(054)电子与信息学部-自动化科学与工程学院,(081100)控制科学与工程,全日制,(03)系统工程,不区分导师,专业：7(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)自动控制理论（含现代控制）
(10698)西安交通大学,统考,(054)电子与信息学部-自动化科学与工程学院,(081100)控制科学与工程,全日制,(04)导航、制导与控制,不区分导师,专业：7(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)自动控制理论（含现代控制）
(10674)昆明理工大学,统考,(004)信息工程与自动化学院,(081101)控制理论与控制工程,全日制,(01)智能控制与智能信息处理,,专业：21(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(816)自动控制原理
(10674)昆明理工大学,统考,(004)信息工程与自动化学院,(081101)控制理论与控制工程,全日制,(03)实时计算机控制系统,,专业：21(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(816)自动控制原理
(10698)西安交通大学,统考,(055)电子与信息学部-人工智能学院,(081100)控制科学与工程,全日制,(01)模式识别与智能系统,不区分导师,专业：16(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(850)数字信号处理原理
(10674)昆明理工大学,统考,(004)信息工程与自动化学院,(081101)控制理论与控制工程,全日制,(02)工业控制网络技术与综合自动化,,专业：21(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(816)自动控制原理
(10674)昆明理工大学,统考,(004)信息工程与自动化学院,(081102)检测技术与自动化装置,全日制,(01)软测量技术与应用,,专业：3(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(816)自动控制原理
(10674)昆明理工大学,统考,(004)信息工程与自动化学院,(081102)检测技术与自动化装置,全日制,(02)虚拟仪器技术与应用,,专业：3(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(816)自动控制原理
(10674)昆明理工大学,统考,(004)信息工程与自动化学院,(081103)系统工程,全日制,(01)决策分析与决策支持系统,,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(816)自动控制原理
(10674)昆明理工大学,统考,(004)信息工程与自动化学院,(081102)检测技术与自动化装置,全日制,(03)先进控制技术与应用,,专业：3(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(816)自动控制原理
(10674)昆明理工大学,统考,(004)信息工程与自动化学院,(081104)模式识别与智能系统,全日制,(01)智能信息处理与智能信息系统,,专业：9(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(816)自动控制原理
(10674)昆明理工大学,统考,(004)信息工程与自动化学院,(081103)系统工程,全日制,(03)信息系统工程,,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(816)自动控制原理
(10674)昆明理工大学,统考,(004)信息工程与自动化学院,(081104)模式识别与智能系统,全日制,(03)智能信息系统,,专业：9(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(816)自动控制原理
(10674)昆明理工大学,统考,(004)信息工程与自动化学院,(081104)模式识别与智能系统,全日制,(02)计算机视觉与智能控制,,专业：9(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(816)自动控制原理
(10674)昆明理工大学,统考,(004)信息工程与自动化学院,(081103)系统工程,全日制,(02)企业信息集成与管理（ERP/MES）,,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(816)自动控制原理
(10657)贵州大学,统考,(118)电气工程学院,(081100)控制科学与工程,全日制,(01)控制理论与控制工程,,研究方向：10(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(837)自动控制理论
(10657)贵州大学,统考,(118)电气工程学院,(081100)控制科学与工程,全日制,(02)检测技术与自动化装置,,研究方向：4(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(837)自动控制理论
(10657)贵州大学,统考,(118)电气工程学院,(081100)控制科学与工程,全日制,(03)模式识别与智能系统,,研究方向：1(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(837)自动控制理论
(10700)西安理工大学,统考,(103)自动化与信息工程学院,(081100)控制科学与工程,全日制,(01)复杂工业系统建模与优化控制,,专业：56(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(822)控制理论(经典控制理论70%；现代控制30%)
(10700)西安理工大学,统考,(103)自动化与信息工程学院,(081100)控制科学与工程,全日制,(03)人工智能与机器人,,专业：56(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(822)控制理论(经典控制理论70%；现代控制30%)
(10700)西安理工大学,统考,(103)自动化与信息工程学院,(081100)控制科学与工程,全日制,(02)先进检测理论与高效自动化装置,,专业：56(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(822)控制理论(经典控制理论70%；现代控制30%)
(10700)西安理工大学,统考,(103)自动化与信息工程学院,(081100)控制科学与工程,全日制,(05)数字孪生与平行控制,,专业：56(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(822)控制理论(经典控制理论70%；现代控制30%)
(10700)西安理工大学,统考,(103)自动化与信息工程学院,(081100)控制科学与工程,全日制,(04)模式识别与智能信息处理,,专业：56(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(822)控制理论(经典控制理论70%；现代控制30%)
(10700)西安理工大学,统考,(103)自动化与信息工程学院,(081100)控制科学与工程,全日制,(06)自主无人系统,,专业：56(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(822)控制理论(经典控制理论70%；现代控制30%)
(10700)西安理工大学,统考,(103)自动化与信息工程学院,(081100)控制科学与工程,全日制,(07)新能源发电与控制,,专业：56(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(822)控制理论(经典控制理论70%；现代控制30%)
(10701)西安电子科技大学,统考,(002)电子工程学院,(081100)控制科学与工程,全日制,(01)系统工程,导师组,专业：13(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(821)电路、信号与系统
(10701)西安电子科技大学,统考,(002)电子工程学院,(081100)控制科学与工程,全日制,(02)模式识别与智能系统,导师组,专业：13(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(821)电路、信号与系统
(10701)西安电子科技大学,统考,(013)空间科学与技术学院,(081100)控制科学与工程,全日制,(01)检测技术与自动化装置,导师组,专业：9(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(931)信号与线性系统
(10701)西安电子科技大学,统考,(004)机电工程学院,(081100)控制科学与工程,全日制,(01)控制理论与控制工程,导师组,专业：21(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(843)自动控制原理
