招生单位,考试方式,院系所,专业,学习方式,研究方向,指导老师,拟招人数,政治,外语,业务课一,业务课二
(10217)哈尔滨工程大学,统考,(004)智能科学与工程学院,(080800)电气工程,全日制,(01)电力电子技术及应用,不区分导师,专业：24(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(808)自动控制原理
(10217)哈尔滨工程大学,统考,(004)智能科学与工程学院,(080800)电气工程,全日制,(01)电力电子技术及应用,不区分导师,专业：24(不含推免),(101)思想政治理论,(202)俄语,(301)数学（一）,(808)自动控制原理
(10217)哈尔滨工程大学,统考,(004)智能科学与工程学院,(080800)电气工程,全日制,(01)电力电子技术及应用,不区分导师,专业：24(不含推免),(101)思想政治理论,(203)日语,(301)数学（一）,(808)自动控制原理
(10247)同济大学,统考,(080)电子与信息工程学院,(080800)电气工程,全日制,(01)电机与电器,不区分导师,专业：10(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(822)电路分析
(10252)上海理工大学,统考,(004)机械工程学院,(080800)电气工程,全日制,(04)能源安全低碳利用及智能化,,专业：41(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(812)电路
(10247)同济大学,统考,(080)电子与信息工程学院,(080800)电气工程,全日制,(02)电力系统及其自动化,不区分导师,专业：10(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(822)电路分析
(10247)同济大学,统考,(080)电子与信息工程学院,(080800)电气工程,全日制,(03)电力电子与电力传动,不区分导师,专业：10(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(822)电路分析
(10280)上海大学,统考,(009)机电工程与自动化学院,(080800)电气工程,全日制,(01)电机与电器,,专业：26(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(843)电路
(10247)同济大学,统考,(080)电子与信息工程学院,(080800)电气工程,全日制,(04)高电压与绝缘技术,不区分导师,专业：10(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(822)电路分析
(10248)上海交通大学,统考,(030)电子信息与电气工程学院,(080800)电气工程,全日制,(01)电气工程（电气系招生）,,专业：18(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(822)基本电路理论
(10280)上海大学,统考,(009)机电工程与自动化学院,(080800)电气工程,全日制,(02)电力电子与电力传动,,专业：26(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(843)电路
(10280)上海大学,统考,(009)机电工程与自动化学院,(080800)电气工程,全日制,(03)电力系统及其自动化,,专业：26(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(843)电路
(10280)上海大学,统考,(009)机电工程与自动化学院,(080800)电气工程,全日制,(05)智能电网与能源互联网,,专业：26(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(843)电路
(10280)上海大学,统考,(009)机电工程与自动化学院,(080800)电气工程,全日制,(04)电工理论与新技术,,专业：26(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(843)电路
(10280)上海大学,统考,(009)机电工程与自动化学院,(080800)电气工程,全日制,(06)智能无人系统,,专业：26(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(843)电路
(10254)上海海事大学,统考,(200)物流工程学院,(080800)电气工程,全日制,(01)电机与电器,,专业：65(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(820)电路原理
(10254)上海海事大学,统考,(200)物流工程学院,(080800)电气工程,全日制,(05)电工理论与新技术,,专业：65(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(820)电路原理
(10254)上海海事大学,统考,(200)物流工程学院,(080800)电气工程,全日制,(02)电力系统及其自动化,,专业：65(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(820)电路原理
(10254)上海海事大学,统考,(200)物流工程学院,(080800)电气工程,全日制,(04)电力电子与电力传动,,专业：65(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(820)电路原理
(10256)上海电力大学,统考,(030)电气工程学院,(080800)电气工程,全日制,(00)不区分研究方向,,专业：145(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(810)电路
(10255)东华大学,统考,(009)信息科学与技术学院,(080800)电气工程,全日制,(04)先进电工理论与新技术,招生考试阶段不区分导师,专业：13(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(825)电路原理
(10255)东华大学,统考,(009)信息科学与技术学院,(080800)电气工程,全日制,(01)新型电力电子与纺织电气系统,招生考试阶段不区分导师,专业：13(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(825)电路原理
(10255)东华大学,统考,(009)信息科学与技术学院,(080800)电气工程,全日制,(02)电气传动系统与智能控制,招生考试阶段不区分导师,专业：13(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(825)电路原理
(10255)东华大学,统考,(009)信息科学与技术学院,(080800)电气工程,全日制,(03)电力系统与新能源发电,招生考试阶段不区分导师,专业：13(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(825)电路原理
(10286)东南大学,统考,(016)电气工程学院,(080800)电气工程,全日制,(01)电机与电器,,专业：30(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(954)电路（电气工程）
(10286)东南大学,统考,(016)电气工程学院,(080800)电气工程,全日制,(04)电力电子与电力传动,,专业：30(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(954)电路（电气工程）
(10286)东南大学,统考,(016)电气工程学院,(080800)电气工程,全日制,(02)电力系统及其自动化,,专业：30(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(954)电路（电气工程）
(10286)东南大学,统考,(016)电气工程学院,(080800)电气工程,全日制,(03)高电压与绝缘,,专业：30(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(954)电路（电气工程）
(10286)东南大学,统考,(016)电气工程学院,(080800)电气工程,全日制,(05)电工新理论,,专业：30(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(954)电路（电气工程）
(10286)东南大学,统考,(016)电气工程学院,(080800)电气工程,全日制,(06)应用电子与运动控制技术,,专业：30(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(954)电路（电气工程）
(10286)东南大学,统考,(016)电气工程学院,(080800)电气工程,全日制,(08)新能源发电技术与分布式电源,,专业：30(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(954)电路（电气工程）
(10286)东南大学,统考,(016)电气工程学院,(080800)电气工程,全日制,(07)电气信息技术,,专业：30(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(954)电路（电气工程）
(10286)东南大学,统考,(016)电气工程学院,(080800)电气工程,全日制,(09)智能电网理论与技术,,专业：30(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(954)电路（电气工程）
(10288)南京理工大学,统考,(108)能源与动力工程学院,(080804)电力电子与电力传动,全日制,(01)电力电子技术在电力系统中的应用,,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(837)电路
(10288)南京理工大学,统考,(108)能源与动力工程学院,(080802)电力系统及其自动化,全日制,(01)电力系统分析、运行、控制与规划,,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(837)电路
(10288)南京理工大学,统考,(108)能源与动力工程学院,(080802)电力系统及其自动化,全日制,(02)电力市场与运营,,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(837)电路
(10288)南京理工大学,统考,(108)能源与动力工程学院,(080804)电力电子与电力传动,全日制,(02)功率变换技术及应用,,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(837)电路
(10288)南京理工大学,统考,(110)自动化学院,(080801)电机与电器,全日制,(01)新型电机设计与优化理论,,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(837)电路
(10288)南京理工大学,统考,(110)自动化学院,(080801)电机与电器,全日制,(04)新能源发电与储能技术,,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(837)电路
(10288)南京理工大学,统考,(110)自动化学院,(080801)电机与电器,全日制,(02)高性能电机与驱动控制技术,,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(837)电路
(10288)南京理工大学,统考,(110)自动化学院,(080801)电机与电器,全日制,(03)无线电能传输技术,,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(837)电路
(10288)南京理工大学,统考,(110)自动化学院,(080802)电力系统及其自动化,全日制,(03)电力系统自动化及远动技术,,专业：7(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(831)电力系统分析
(10288)南京理工大学,统考,(110)自动化学院,(080802)电力系统及其自动化,全日制,(04)新型输电系统与现代电力电子技术应用,,专业：7(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(831)电力系统分析
(10288)南京理工大学,统考,(110)自动化学院,(080802)电力系统及其自动化,全日制,(02)电力系统继电保护及安全自动装置,,专业：7(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(831)电力系统分析
(10288)南京理工大学,统考,(110)自动化学院,(080802)电力系统及其自动化,全日制,(01)电力系统分析、运行、控制与规划,,专业：7(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(831)电力系统分析
(10288)南京理工大学,统考,(110)自动化学院,(080804)电力电子与电力传动,全日制,(02)电力传动及其自动控制系统,,专业：9(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(837)电路
(10288)南京理工大学,统考,(110)自动化学院,(080804)电力电子与电力传动,全日制,(04)电力电子技术在电力系统中的应用,,专业：9(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(837)电路
(10288)南京理工大学,统考,(110)自动化学院,(080804)电力电子与电力传动,全日制,(03)电力电子装置与系统的故障诊断与容错控制,,专业：9(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(837)电路
(10288)南京理工大学,统考,(110)自动化学院,(080804)电力电子与电力传动,全日制,(01)功率变换技术与应用,,专业：9(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(837)电路
(10288)南京理工大学,统考,(110)自动化学院,(0808J1)智能电网与控制,全日制,(03)电能质量分析与控制技术,,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(837)电路
(10288)南京理工大学,统考,(110)自动化学院,(0808J1)智能电网与控制,全日制,(04)新能源与分布式电力系统的建模、分析与控制,,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(837)电路
(10288)南京理工大学,统考,(110)自动化学院,(0808J1)智能电网与控制,全日制,(01)复杂电力网络分析,,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(837)电路
(10288)南京理工大学,统考,(110)自动化学院,(0808J1)智能电网与控制,全日制,(02)复杂电力网络智能控制,,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(837)电路
(10287)南京航空航天大学,统考,(003)自动化学院,(080800)电气工程,全日制,(01)电力电子与电力传动,不区分导师,专业：32(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(819)电路
(10287)南京航空航天大学,统考,(003)自动化学院,(080800)电气工程,全日制,(04)电工理论与新技术,不区分导师,专业：32(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(819)电路
(10287)南京航空航天大学,统考,(003)自动化学院,(080800)电气工程,全日制,(03)电力系统及其自动化,不区分导师,专业：32(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(819)电路
(10287)南京航空航天大学,统考,(003)自动化学院,(080800)电气工程,全日制,(02)电机与电器,不区分导师,专业：32(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(819)电路
(10287)南京航空航天大学,统考,(003)自动化学院,(080800)电气工程,全日制,(05)高电压与绝缘技术,不区分导师,专业：32(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(819)电路
