招生单位,考试方式,院系所,专业,学习方式,研究方向,指导老师,拟招人数,政治,外语,业务课一,业务课二
(10054)华北电力大学,统考,(001)电气与电子工程学院,(085801)(专业学位)电气工程,全日制,(02)电力系统及其自动化,,专业：140(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(811)电力系统分析基础
(10054)华北电力大学,统考,(002)能源动力与机械工程学院,(085802)(专业学位)动力工程,全日制,(01)大型发电机组优化运行,,专业：99(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(823)热工基础
(10054)华北电力大学,统考,(002)能源动力与机械工程学院,(085802)(专业学位)动力工程,全日制,(03)清洁燃烧及环境污染控制,,专业：99(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(823)热工基础
(10054)华北电力大学,统考,(001)电气与电子工程学院,(085801)(专业学位)电气工程,全日制,(04)电力电子技术及其应用,,专业：140(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(811)电力系统分析基础
(10054)华北电力大学,统考,(001)电气与电子工程学院,(085801)(专业学位)电气工程,全日制,(03)高电压与绝缘技术,,专业：140(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(811)电力系统分析基础
(10054)华北电力大学,统考,(001)电气与电子工程学院,(085801)(专业学位)电气工程,全日制,(05)电工新技术及其应用,,专业：140(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(811)电力系统分析基础
(10054)华北电力大学,统考,(002)能源动力与机械工程学院,(085802)(专业学位)动力工程,全日制,(02)能源转换的安全与节能,,专业：99(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(823)热工基础
(10054)华北电力大学,统考,(002)能源动力与机械工程学院,(085802)(专业学位)动力工程,全日制,(04)新能源开发与利用,,专业：99(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(823)热工基础
(10054)华北电力大学,统考,(001)电气与电子工程学院,(085801)(专业学位)电气工程,全日制,(06)电力经济及管理,,专业：140(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(811)电力系统分析基础
(10054)华北电力大学,统考,(002)能源动力与机械工程学院,(085802)(专业学位)动力工程,全日制,(06)制冷及空调工程,,专业：99(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(823)热工基础
(10054)华北电力大学,统考,(005)新能源学院,(085807)(专业学位)清洁能源技术,全日制,(04)燃烧及污染物控制,,专业：42(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(851)新能源理化基础
(10054)华北电力大学,统考,(002)能源动力与机械工程学院,(085802)(专业学位)动力工程,全日制,(05)核电与动力工程,,专业：99(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(823)热工基础
(10054)华北电力大学,统考,(005)新能源学院,(085807)(专业学位)清洁能源技术,全日制,(03)废弃物高效清洁利用,,专业：42(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(851)新能源理化基础
(10054)华北电力大学,统考,(005)新能源学院,(085807)(专业学位)清洁能源技术,全日制,(02)风电场技术,,专业：42(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(851)新能源理化基础
