招生单位,考试方式,院系所,专业,学习方式,研究方向,指导老师,拟招人数,政治,外语,业务课一,业务课二
(10068)天津外国语大学,统考,(008)高级翻译学院,(055105)(专业学位)日语笔译,全日制,(00)不区分方向,,专业：13(不含推免),(101)思想政治理论,(213)翻译硕士日语,(359)日语翻译基础,(448)汉语写作与百科知识
(10068)天津外国语大学,统考,(008)高级翻译学院,(055104)(专业学位)俄语口译,全日制,(00)不区分方向,,专业：8(不含推免),(101)思想政治理论,(212)翻译硕士俄语,(358)俄语翻译基础,(448)汉语写作与百科知识
(10068)天津外国语大学,统考,(008)高级翻译学院,(055107)(专业学位)法语笔译,全日制,(00)不区分方向,,专业：7(不含推免),(101)思想政治理论,(214)翻译硕士法语,(360)法语翻译基础,(448)汉语写作与百科知识
(10068)天津外国语大学,统考,(008)高级翻译学院,(055109)(专业学位)德语笔译,全日制,(00)不区分方向,,专业：7(不含推免),(101)思想政治理论,(215)翻译硕士德语,(361)德语翻译基础,(448)汉语写作与百科知识
(10068)天津外国语大学,统考,(008)高级翻译学院,(055108)(专业学位)法语口译,全日制,(00)不区分方向,,专业：5(不含推免),(101)思想政治理论,(214)翻译硕士法语,(360)法语翻译基础,(448)汉语写作与百科知识
(10068)天津外国语大学,统考,(008)高级翻译学院,(055110)(专业学位)德语口译,全日制,(00)不区分方向,,专业：6(不含推免),(101)思想政治理论,(215)翻译硕士德语,(361)德语翻译基础,(448)汉语写作与百科知识
(10068)天津外国语大学,统考,(008)高级翻译学院,(055103)(专业学位)俄语笔译,全日制,(00)不区分方向,,专业：12(不含推免),(101)思想政治理论,(212)翻译硕士俄语,(358)俄语翻译基础,(448)汉语写作与百科知识
(10068)天津外国语大学,统考,(008)高级翻译学院,(055113)(专业学位)西班牙语笔译,全日制,(00)不区分方向,,专业：4(不含推免),(101)思想政治理论,(217)翻译硕士西班牙语,(363)西班牙语翻译基础,(448)汉语写作与百科知识
(10068)天津外国语大学,统考,(008)高级翻译学院,(055111)(专业学位)朝鲜语笔译,全日制,(00)不区分方向,,专业：7(不含推免),(101)思想政治理论,(216)翻译硕士朝鲜语,(362)朝鲜语翻译基础,(448)汉语写作与百科知识
(10079)华北电力大学(保定),统考,(003)英语系,(055101)(专业学位)英语笔译,全日制,(01)英语笔译,,专业：15(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10075)河北大学,统考,(011)外国语学院,(055102)(专业学位)英语口译,全日制,(00)不区分研究方向,,专业：6(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10075)河北大学,统考,(011)外国语学院,(055101)(专业学位)英语笔译,全日制,(00)不区分研究方向,,专业：20(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10075)河北大学,统考,(011)外国语学院,(055105)(专业学位)日语笔译,全日制,(00)不区分研究方向,,专业：13(不含推免),(101)思想政治理论,(213)翻译硕士日语,(359)日语翻译基础,(448)汉语写作与百科知识
(10068)天津外国语大学,统考,(008)高级翻译学院,(055115)(专业学位)阿拉伯语笔译,全日制,(00)不区分方向,,专业：5(不含推免),(101)思想政治理论,(218)翻译硕士阿拉伯语,(364)阿拉伯语翻译基础,(448)汉语写作与百科知识
(10075)河北大学,统考,(011)外国语学院,(055111)(专业学位)朝鲜语笔译,全日制,(00)不区分研究方向,,专业：3(不含推免),(101)思想政治理论,(216)翻译硕士朝鲜语,(362)朝鲜语翻译基础,(448)汉语写作与百科知识
(10082)河北科技大学,统考,(012)外国语学院,(055100)(专业学位)翻译,全日制,(01)英语笔译,不区分,研究方向：24(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10075)河北大学,统考,(011)外国语学院,(055103)(专业学位)俄语笔译,全日制,(00)不区分研究方向,,专业：4(不含推免),(101)思想政治理论,(212)翻译硕士俄语,(358)俄语翻译基础,(448)汉语写作与百科知识
(10075)河北大学,统考,(011)外国语学院,(055104)(专业学位)俄语口译,全日制,(00)不区分研究方向,,专业：2(不含推免),(101)思想政治理论,(212)翻译硕士俄语,(358)俄语翻译基础,(448)汉语写作与百科知识
(10075)河北大学,统考,(011)外国语学院,(055106)(专业学位)日语口译,全日制,(00)不区分研究方向,,专业：5(不含推免),(101)思想政治理论,(213)翻译硕士日语,(359)日语翻译基础,(448)汉语写作与百科知识
(10086)河北农业大学,统考,(003)外国语学院,(055101)(专业学位)英语笔译,全日制,(00)不区分研究方向,,专业：12(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10075)河北大学,统考,(011)外国语学院,(055112)(专业学位)朝鲜语口译,全日制,(00)不区分研究方向,,专业：2(不含推免),(101)思想政治理论,(216)翻译硕士朝鲜语,(362)朝鲜语翻译基础,(448)汉语写作与百科知识
