招生单位,考试方式,院系所,专业,学习方式,研究方向,指导老师,拟招人数,政治,外语,业务课一,业务课二
(10004)北京交通大学,统考,(002)计算机与信息技术学院,(081200)计算机科学与技术,全日制,(05)轨道交通信息技术,,专业：31(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(906)计算机专业基础
(10004)北京交通大学,统考,(002)计算机与信息技术学院,(081200)计算机科学与技术,全日制,(06)计算机安全,,专业：31(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(906)计算机专业基础
(10004)北京交通大学,统考,(002)计算机与信息技术学院,(081200)计算机科学与技术,全日制,(07)计算机软件理论,,专业：31(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(906)计算机专业基础
(10004)北京交通大学,统考,(002)计算机与信息技术学院,(081200)计算机科学与技术,全日制,(08)人工智能及应用,,专业：31(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(906)计算机专业基础
(10005)北京工业大学,统考,(074)信息学部计算机学院,(081200)计算机科学与技术,全日制,(01)计算机系统结构,,专业：45(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
(10005)北京工业大学,统考,(074)信息学部计算机学院,(081200)计算机科学与技术,全日制,(02)计算机软件与理论,,专业：45(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
(10005)北京工业大学,统考,(074)信息学部计算机学院,(081200)计算机科学与技术,全日制,(03)计算机应用技术,,专业：45(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
(10005)北京工业大学,统考,(074)信息学部计算机学院,(081200)计算机科学与技术,全日制,(04)信息安全,,专业：45(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
(10009)北方工业大学,统考,(001)信息学院,(081200)计算机科学与技术,全日制,(01)计算机系统结构,,专业：36(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(861)数据结构
(10009)北方工业大学,统考,(001)信息学院,(081200)计算机科学与技术,全日制,(02)计算机软件与理论,,专业：36(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(861)数据结构
(10009)北方工业大学,统考,(001)信息学院,(081200)计算机科学与技术,全日制,(03)计算机应用技术,,专业：36(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(861)数据结构
(10009)北方工业大学,统考,(001)信息学院,(081200)计算机科学与技术,全日制,(04)计算机网络与信息安全,,专业：36(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(861)数据结构
(10010)北京化工大学,统考,(004)信息科学与技术学院,(081200)计算机科学与技术,全日制,(01)智能软件工程及软件测试,,专业：14(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(842)数据结构
